,nav
2015-06-16,6547556.0
2015-06-17,6620586.0
2015-06-18,6621544.0
2015-06-19,6661040.0
2015-06-22,6774806.0
2015-06-23,6752534.0
2015-06-24,6727521.0
2015-06-25,6757871.0
2015-06-26,6806175.0
2015-06-29,6779638.5
2015-06-30,6886076.5
2015-07-01,6879808.0
2015-07-02,6961437.5
2015-07-03,6924776.5
2015-07-06,7020214.0
2015-07-07,6989564.0
2015-07-08,6979338.0
2015-07-09,6987389.0
2015-07-10,6981340.0
2015-07-13,7067752.5
2015-07-14,7063016.0
2015-07-15,7169966.0
2015-07-16,7223619.0
2015-07-17,7305306.5
2015-07-20,7324771.5
2015-07-21,7138021.0
2015-07-22,7324008.0
2015-07-23,7394559.5
2015-07-24,7346537.5
2015-07-27,7300102.0
2015-07-28,7358414.5
2015-07-29,7490027.5
2015-07-30,7636801.5
2015-07-31,7814561.0
2015-08-03,8079078.5
2015-08-04,8131986.5
2015-08-05,8177636.0
2015-08-06,8070444.0
2015-08-07,8057651.5
2015-08-10,7938846.5
2015-08-11,7782436.0
2015-08-12,7566773.5
2015-08-13,7471160.0
2015-08-14,7523608.0
2015-08-17,7512848.0
2015-08-18,7597568.0
2015-08-19,7638845.5
2015-08-20,7410642.0
2015-08-21,7347332.5
2015-08-24,6593529.0
2015-08-25,6629117.5
2015-08-26,6544829.5
2015-08-27,6595477.0
2015-08-28,6631448.0
2015-08-31,6643513.0
2015-09-01,6646461.0
2015-09-02,6638030.0
2015-09-03,6640967.0
2015-09-04,6595317.5
2015-09-07,6561240.0
2015-09-08,6550713.0
2015-09-09,6566596.5
2015-09-10,6612832.0
2015-09-11,6645144.0
2015-09-14,6649680.0
2015-09-15,6644362.5
2015-09-16,6647514.0
2015-09-18,6700148.0
2015-09-21,6718142.5
2015-09-22,6691347.0
2015-09-23,6667668.0
