config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
rsblend_N5_buf22_g0_d15,rsblend,5,22,0,15,37.5,32.1,-36.7,1.54,2.13,1.02,0.87,147,423,0,0.294,472.6
rsblend_N5_buf22_g0_d20,rsblend,5,22,0,20,34.6,29.5,-38.4,1.39,1.91,0.9,0.77,147,345,0,0.245,341.8
rsblend_N5_buf22_g0_d30,rsblend,5,22,0,30,38.9,33.8,-37.8,1.46,2.06,1.03,0.89,147,241,0,0.18,402.8
rsblend_N5_buf22_g100_d0,rsblend,5,22,100,0,33.8,28.3,-29.7,1.39,1.66,1.14,0.95,108,0,23,0.143,196.8
rsblend_N5_buf22_g100_d15,rsblend,5,22,100,15,34.4,29.5,-20.6,1.65,1.96,1.68,1.44,110,282,22,0.313,363.6
rsblend_N5_buf22_g100_d20,rsblend,5,22,100,20,33.2,28.3,-23.7,1.55,1.82,1.4,1.2,110,214,23,0.269,310.9
rsblend_N5_buf22_g100_d30,rsblend,5,22,100,30,36.6,31.1,-21.9,1.63,1.96,1.67,1.42,109,143,23,0.211,373.3
rsblend_N5_buf22_g200_d0,rsblend,5,22,200,0,31.4,26.6,-44.6,1.19,1.45,0.7,0.6,118,0,18,0.121,134.2
rsblend_N5_buf22_g200_d15,rsblend,5,22,200,15,31.6,26.5,-29.6,1.48,1.81,1.07,0.89,121,324,18,0.317,313.4
rsblend_N5_buf22_g200_d20,rsblend,5,22,200,20,30.5,25.6,-34.5,1.38,1.68,0.89,0.74,119,251,18,0.267,251.9
rsblend_N5_buf22_g200_d30,rsblend,5,22,200,30,35.1,29.8,-30.9,1.51,1.9,1.13,0.96,118,167,18,0.208,306.3
rsblend_N5_buf26_g0_d0,rsblend,5,26,0,0,35.0,31.6,-45.2,1.15,1.57,0.78,0.7,147,0,0,0.069,121.1
rsblend_N5_buf26_g0_d15,rsblend,5,26,0,15,37.5,32.1,-36.7,1.54,2.13,1.02,0.87,147,423,0,0.294,472.6
rsblend_N5_buf26_g0_d20,rsblend,5,26,0,20,34.6,29.5,-38.4,1.39,1.91,0.9,0.77,147,345,0,0.245,341.8
rsblend_N5_buf26_g0_d30,rsblend,5,26,0,30,38.2,33.1,-37.8,1.44,2.03,1.01,0.88,147,243,0,0.18,379.1
rsblend_N5_buf26_g100_d0,rsblend,5,26,100,0,37.3,31.3,-29.7,1.5,1.8,1.25,1.05,108,0,23,0.14,259.1
