,nav
2013-02-08,4362981.5
2013-02-11,4351616.5
2013-02-12,4380686.0
2013-02-13,4362198.0
2013-02-14,4318469.0
2013-02-15,4337047.5
2013-02-18,4353762.0
2013-02-19,4390832.0
2013-02-20,4405592.0
2013-02-21,4403535.0
2013-02-22,4400881.5
2013-02-25,4383458.0
2013-02-26,4369717.0
2013-02-27,4402077.0
2013-02-28,4398281.5
2013-03-01,4412431.5
2013-03-04,4382099.0
2013-03-05,4420907.5
2013-03-06,4446805.5
2013-03-07,4506037.5
2013-03-08,4545203.5
2013-03-11,4556612.0
2013-03-12,4547714.0
2013-03-13,4476736.0
2013-03-14,4487166.0
2013-03-15,4458240.0
2013-03-18,4456989.0
2013-03-19,4435267.5
2013-03-20,4435228.0
2013-03-21,4427632.0
2013-03-22,4414588.0
2013-03-25,4418883.0
2013-03-26,4454455.0
2013-03-28,4492697.5
2013-04-01,4505863.5
2013-04-02,4493695.0
2013-04-03,4499957.5
2013-04-04,4469526.5
2013-04-05,4487694.0
2013-04-08,4491077.0
2013-04-09,4487223.5
2013-04-10,4507823.5
2013-04-11,4485540.5
2013-04-12,4399364.0
2013-04-15,4370421.0
2013-04-16,4370749.0
2013-04-17,4365617.0
2013-04-18,4372663.0
2013-04-22,4392342.5
2013-04-23,4400967.5
2013-04-25,4427236.5
2013-04-26,4410044.0
2013-04-29,4412966.5
2013-04-30,4403092.5
2013-05-02,4412931.5
2013-05-03,4437077.5
2013-05-06,4433044.5
2013-05-07,4457550.5
2013-05-08,4467080.0
2013-05-09,4455875.0
2013-05-10,4465884.5
2013-05-11,4466353.0
2013-05-13,4424070.5
2013-05-14,4434889.5
2013-05-15,4482556.0
2013-05-16,4499484.0
2013-05-17,4487179.5
2013-05-20,4456379.0
2013-05-21,4420756.0
2013-05-22,4391295.0
2013-05-23,4354982.5
2013-05-24,4370486.0
2013-05-27,4374994.0
2013-05-28,4397818.5
2013-05-29,4407682.0
2013-05-30,4422900.0
2013-05-31,4427707.0
2013-06-03,4405306.5
2013-06-04,4396195.0
2013-06-05,4398029.0
2013-06-06,4391340.0
2013-06-07,4396262.0
2013-06-10,4367383.5
2013-06-11,4341538.0
2013-06-12,4308007.0
2013-06-13,4290683.5
2013-06-14,4315131.5
2013-06-17,4349338.0
2013-06-18,4351984.0
