,mq,kc6,combined
2024-04-15,11088212.057292543,4922974.796144637,16011186.853437182
2024-04-16,11082330.987293163,4908514.294396499,15990845.281689662
2024-04-18,11012397.027294407,4890991.444638375,15903388.471932782
2024-04-19,10963573.23729503,4871947.759078585,15835520.996373614
2024-04-22,11042610.587296896,4891084.317772493,15933694.905069388
2024-04-23,11070420.073849276,4876843.337276163,15947263.411125438
2024-04-24,11125379.363849897,4862903.241691531,15988282.605541427
2024-04-25,11244148.162534114,4876846.481173198,16120994.643707313
2024-04-26,11268521.842534738,4864470.825649899,16132992.668184638
2024-04-29,11269197.012536606,4865403.737863038,16134600.750399644
2024-04-30,11367571.382537225,4866336.828990847,16233908.211528072
2024-05-02,11540369.122538475,4867270.09906764,16407639.221606115
2024-05-03,11483906.442539096,4868203.548127735,16352109.99066683
2024-05-06,11363032.112540964,4869137.176205458,16232169.288746422
2024-05-07,11204370.46254159,4870070.983335141,16074441.44587673
2024-05-08,11398129.112542214,4869539.881439195,16267668.99398141
2024-05-09,11154549.522542842,4837018.926240203,15991568.448783044
2024-05-10,11248090.82254346,4886707.5591466045,16134798.381690066
2024-05-13,11308617.572545333,4915352.469414749,16223970.041960083
2024-05-14,11465006.95254596,4951623.745073853,16416630.697619813
2024-05-15,11467283.712546583,4942139.0536306985,16409422.766177282
2024-05-16,11645073.752547208,4936583.401403723,16581657.153950932
2024-05-17,11723167.782547833,4942609.594757144,16665777.377304979
2024-05-18,11745462.50254846,4951649.333718878,16697111.836267337
2024-05-21,11815890.142550332,4949483.474158734,16765373.616709067
2024-05-22,11767395.102550954,4953866.37473597,16721261.477286924
2024-05-23,11820485.412551584,4952143.339103728,16772628.75165531
2024-05-24,11827324.682552211,4953899.742374149,16781224.42492636
2024-05-27,11917116.052554086,4954849.80533844,16871965.85789253
2024-05-28,11890374.71255471,4954309.457952385,16844684.170507096
2024-05-29,11860138.252555337,4957520.025357935,16817658.277913272
2024-05-30,11701874.392555961,4955159.256973691,16657033.649529653
2024-05-31,11738261.422556588,4977933.557468663,16716194.98002525
2024-06-03,12134234.952558469,5011151.942030379,17145386.894588847
2024-06-04,11202839.602559099,4969612.9558475595,16172452.558406658
2024-06-05,11658694.742693268,4970566.032304846,16629260.774998114
2024-06-06,11845695.432693893,4971519.291543918,16817214.72423781
2024-06-07,12016745.612694522,4972472.73359983,16989218.34629435
2024-06-10,12105365.3326964,4973426.358507644,17078791.691204045
2024-06-11,12070276.272697028,4974380.166302427,17044656.438999455
2024-06-12,12135166.802697657,4975334.157019252,17110500.95971691
2024-06-13,12033864.692698283,4976288.330693201,17010153.023391485
2024-06-14,12098769.114469219,4977242.687359362,17076011.80182858
2024-06-18,12134939.524471732,4978197.227052828,17113136.75152456
2024-06-19,12005366.544472361,4979151.949808702,16984518.49428106
2024-06-20,12112275.874472987,4980106.85566209,17092382.730135076
2024-06-21,12083701.504473617,4981061.9446481075,17064763.449121725
2024-06-24,12152972.2444755,4981267.921412469,17134240.16588797
2024-06-25,12166530.974476133,4986605.417520685,17153136.391996816
2024-06-26,12141930.054476758,4991644.578559662,17133574.63303642
2024-06-27,12144609.194477392,4995191.40456103,17139800.599038422
